Name,Type,Communicative,Count Norm treshold, Init Area
agent000,opportunist,1,18,23
agent001,opportunist,1,16,30
agent002,conformist,1,19,4
agent003,conformist,1,19,22
agent004,opportunist,1,18,20
agent005,conformist,1,15,17
agent006,conformist,1,18,4
agent007,conformist,1,18,28
agent008,opportunist,1,17,8
agent009,conformist,1,19,37
agent00a,conformist,1,20,30
agent00b,balanced,1,19,37
agent00c,conformist,1,16,5
agent00d,balanced,1,19,18
agent00e,opportunist,1,16,29
agent00f,balanced,1,18,17
agent010,opportunist,1,15,36
agent011,conformist,1,20,23
agent012,balanced,1,16,11
agent013,conformist,1,18,32
agent014,opportunist,1,20,7
agent015,opportunist,1,15,25
agent016,conformist,1,19,37
agent017,opportunist,1,19,2
agent018,balanced,1,16,16
agent019,balanced,1,20,25
agent01a,opportunist,1,20,15
agent01b,opportunist,1,19,22
agent01c,conformist,1,17,22
agent01d,opportunist,1,16,26
agent01e,balanced,1,16,17
agent01f,balanced,1,17,8
agent020,balanced,1,20,14
agent021,opportunist,1,15,6
agent022,opportunist,1,20,12
agent023,conformist,1,19,32
agent024,conformist,1,15,12
agent025,conformist,1,15,1
agent026,balanced,1,17,4
agent027,balanced,1,19,14
agent028,conformist,1,16,26
agent029,balanced,1,17,39
agent02a,balanced,1,19,2
agent02b,conformist,1,16,24
agent02c,opportunist,1,19,19
agent02d,opportunist,1,16,26
agent02e,conformist,1,20,18
agent02f,balanced,1,16,18
agent030,conformist,1,15,35
agent031,opportunist,1,15,22
agent032,conformist,1,15,25
agent033,opportunist,1,19,12
agent034,conformist,1,15,2
agent035,conformist,1,19,18
agent036,balanced,1,15,18
agent037,opportunist,1,20,30
agent038,opportunist,1,18,18
agent039,opportunist,1,16,33
agent03a,balanced,1,16,30
agent03b,opportunist,1,19,5
agent03c,opportunist,1,18,22
agent03d,balanced,1,18,38
agent03e,balanced,1,20,6
agent03f,conformist,1,17,25
agent040,conformist,1,16,16
agent041,conformist,1,17,33
agent042,balanced,1,16,12
agent043,balanced,1,16,16
agent044,conformist,1,16,5
agent045,opportunist,1,16,37
agent046,opportunist,1,17,31
agent047,balanced,1,20,15
agent048,conformist,1,18,18
agent049,balanced,1,20,35
agent04a,conformist,1,17,7
agent04b,balanced,1,16,20
agent04c,conformist,1,19,7
agent04d,balanced,1,16,25
agent04e,opportunist,1,15,34
agent04f,balanced,1,18,1
agent050,balanced,1,16,33
agent051,conformist,1,17,32
agent052,balanced,1,18,33
agent053,balanced,1,17,35
agent054,balanced,1,18,8
agent055,conformist,1,17,8
agent056,conformist,1,20,1
agent057,conformist,1,17,15
agent058,balanced,1,16,37
agent059,balanced,1,18,12
agent05a,balanced,1,18,17
agent05b,opportunist,1,16,23
agent05c,opportunist,1,15,20
agent05d,conformist,1,16,4
agent05e,opportunist,1,18,22
agent05f,balanced,1,16,13
agent060,balanced,1,19,37
agent061,conformist,1,16,15
agent062,opportunist,1,15,12
agent063,balanced,1,16,11
agent064,opportunist,1,20,24
agent065,conformist,1,18,32
agent066,opportunist,1,19,16
agent067,conformist,1,17,14
agent068,opportunist,1,16,33
agent069,balanced,1,17,16
agent06a,balanced,1,15,5
agent06b,balanced,1,15,23
agent06c,opportunist,1,17,13
agent06d,conformist,1,18,25
agent06e,balanced,1,19,38
agent06f,conformist,1,18,35
agent070,conformist,1,20,4
agent071,conformist,1,17,36
agent072,balanced,1,20,3
agent073,balanced,1,20,32
agent074,conformist,1,16,39
agent075,conformist,1,20,11
agent076,opportunist,1,20,34
agent077,balanced,1,19,30
agent078,opportunist,1,15,17
agent079,opportunist,1,20,20
agent07a,opportunist,1,17,38
agent07b,conformist,1,15,21
agent07c,balanced,1,16,14
agent07d,conformist,1,19,13
agent07e,opportunist,1,18,12
agent07f,opportunist,1,18,4
agent080,conformist,1,20,15
agent081,balanced,1,18,28
agent082,opportunist,1,16,35
agent083,conformist,1,15,4
agent084,conformist,1,19,22
agent085,conformist,1,16,8
agent086,opportunist,1,19,20
agent087,conformist,1,15,30
agent088,conformist,1,16,20
agent089,conformist,1,15,37
agent08a,conformist,1,15,28
agent08b,opportunist,1,18,16
agent08c,balanced,1,18,12
agent08d,balanced,1,17,16
